"","id","month_last","donation_count","total_volume","month_first","result","age","freq","donation_score","first_time","xgbpred","xgbpredrose"
"1",659,2,12,3000,52,0.5,50,4.16666666666667,600,0,0.397201657295227,0.800162434577942
"2",276,21,7,1750,38,0.5,17,2.42857142857143,119,0,0.155668020248413,0.18648724257946
"3",263,4,1,250,4,0.5,0,0,0,1,0.215393796563148,0.26481220126152
"4",303,11,11,2750,38,0.5,27,2.45454545454545,297,0,0.194531485438347,0.347562372684479
"5",83,4,12,3000,34,0.5,30,2.5,360,0,0.518028080463409,0.78334504365921
"6",500,3,21,5250,42,0.5,39,1.85714285714286,819,0,0.518028080463409,0.89715564250946
"7",530,4,2,500,4,0.5,0,0,0,1,0.246591418981552,0.26481220126152
"8",244,14,1,250,14,0.5,0,0,0,1,0.138506770133972,0.189463526010513
"9",249,23,2,500,87,0.5,64,32,128,0,0.138702630996704,0.100775003433228
"10",728,14,4,1000,64,0.5,50,12.5,200,0,0.137242376804352,0.106570951640606
"11",129,13,3,750,16,0.5,3,1,9,0,0.147442474961281,0.223061785101891
"12",534,11,7,1750,62,0.5,51,7.28571428571429,357,0,0.161912828683853,0.179170832037926
"13",317,5,11,2750,75,0.5,70,6.36363636363636,770,0,0.25043311715126,0.714030385017395
"14",401,4,1,250,4,0.5,0,0,0,1,0.215393796563148,0.26481220126152
"15",696,4,4,1000,26,0.5,22,5.5,88,0,0.260783970355988,0.383055090904236
"16",192,11,1,250,11,0.5,0,0,0,1,0.162238270044327,0.189463526010513
"17",176,11,6,1500,26,0.5,15,2.5,90,0,0.194531485438347,0.204888433218002
"18",571,7,14,3500,48,0.5,41,2.92857142857143,574,0,0.303385585546494,0.824127793312073
"19",139,23,14,3500,93,0.5,70,5,980,0,0.155668020248413,0.357784569263458
"20",423,3,4,1000,29,0.5,26,6.5,104,0,0.236760005354881,0.263949155807495
"21",563,2,7,1750,29,0.5,27,3.85714285714286,189,0,0.547792255878448,0.424365788698196
"22",56,4,6,1500,35,0.5,31,5.16666666666667,186,0,0.496052801609039,0.396198958158493
"23",528,5,7,1750,26,0.5,21,3,147,0,0.487837016582489,0.424365788698196
"24",101,4,1,250,4,0.5,0,0,0,1,0.215393796563148,0.26481220126152
"25",467,2,3,750,38,0.5,36,12,108,0,0.208895429968834,0.178412437438965
"26",382,5,14,3500,86,0.5,81,5.78571428571429,1134,0,0.379232436418533,0.775971412658691
"27",466,2,2,500,11,0.5,9,4.5,18,0,0.230947524309158,0.439199477434158
"28",294,14,1,250,14,0.5,0,0,0,1,0.138506770133972,0.189463526010513
"29",512,4,3,750,16,0.5,12,4,36,0,0.230947524309158,0.439199477434158
