,Made Donation in March 2007
659,0.5188293643
276,0.1836141491
263,0.1732918908
303,0.3256426881
83,0.51104833
500,0.659386722
530,0.2316509738
244,0.0749620668
249,0.0102949842
728,0.0580357109
129,0.2787641684
534,0.1408687655
317,0.2916658593
401,0.1732918908
696,0.2545002829
192,0.0903604354
176,0.2661299223
571,0.4027834761
139,0.1388129934
423,0.2612965434
563,0.4740752025
56,0.3036190937
528,0.382870408
101,0.1732918908
467,0.1794001485
382,0.3320759922
466,0.3030013238
294,0.0749620668
512,0.2788298188
659,0.5188293643
389,0.3636908446
487,0.0636953187
701,0.2410626376
419,0.2472131429
536,0.0706189685
240,0.2762628515
508,0.0982773497
515,0.0749620668
283,0.3499469141
650,0.1732918908
65,0.5371352393
228,0.1815514025
741,0.0709242746
297,0.3922831187
464,0.1005922394
63,0.2410626376
231,0.3872696693
28,0.0849086724
248,0.0749620668
357,0.2004564169
300,0.5471852756
726,0.5091866877
680,0.207973507
520,0.2820242571
254,0.0433543195
582,0.1918006215
143,0.267401274
98,0.5025059182
1,0.2646185363
221,0.5444520979
352,0.1732918908
64,0.047310121
138,0.265666489
745,0.4623250461
64,0.047310121
688,0.0769222701
623,0.0734754631
289,0.2317919792
174,0.3143952812
690,0.1732918908
105,0.1679669702
427,0.2152952104
48,0.0303420775
14,0.1732918908
657,0.0617779909
301,0.1366770662
455,0.1164872907
579,0.312879503
722,0.1271130418
98,0.5025059182
491,0.0303420775
303,0.3256426881
466,0.3030013238
65,0.5371352393
300,0.5471852756
9,0.0532530343
622,0.0903604354
323,0.0828839502
289,0.2317919792
568,0.3241751161
290,0.1732918908
156,0.0545848005
464,0.1005922394
426,0.0939388385
306,0.2751117869
4,0.3045574208
12,0.3398994702
187,0.26163393
406,0.1097814681
96,0.2316509738
509,0.2410626376
733,0.1250624704
548,0.0838425162
478,0.2016253419
501,0.1753339772
127,0.5072009908
199,0.2260479767
299,0.4741574031
162,0.1732918908
235,0.1972412767
23,0.1633678106
473,0.1732918908
487,0.0636953187
683,0.4337509515
303,0.3256426881
309,0.0479608565
569,0.0490852989
34,0.3946815624
686,0.5690941712
84,0.1689308627
733,0.1250624704
537,0.4831669664
181,0.1347116396
453,0.896074707
67,0.4612738005
161,0.5148883079
307,0.2504772782
703,0.1250142439
181,0.1347116396
246,0.1043881892
316,0.3460768764
278,0.0903604354
346,0.2777048938
545,0.1732918908
419,0.2472131429
694,0.2316509738
622,0.0903604354
663,0.0360257262
262,0.6340338199
461,0.3797537616
373,0.7270369824
233,0.1732918908
466,0.3030013238
207,0.267401274
263,0.1732918908
16,0.0490852989
513,0.0869335978
449,0.2660774229
429,0.0317803438
701,0.2410626376
632,0.0363537543
529,0.6018050628
245,0.3070121295
344,0.15620726
353,0.2439194397
241,0.306235981
633,0.0672371606
624,0.2410626376
726,0.5091866877
189,0.0903604354
138,0.265666489
402,0.0749620668
511,0.3921172413
590,0.4941952829
334,0.1357761385
447,0.0498562904
119,0.3030013238
389,0.3636908446
644,0.1732918908
423,0.2612965434
131,0.0490852989
405,0.0288018085
82,0.1732918908
643,0.7337082918
156,0.0545848005
617,0.0720387416
574,0.4661700737
272,0.3866670324
613,0.031329686
545,0.1732918908
685,0.0749620668
570,0.1782538655
537,0.4831669664
691,0.0672371606
85,0.4481475401
483,0.1043881892
455,0.1164872907
93,0.0903604354
744,0.2410626376
33,0.1043881892
321,0.5898890664
523,0.1594831649
426,0.0939388385
196,0.066420865
301,0.1366770662
103,0.0672371606
224,0.1704700422
454,0.1629037178
585,0.0994895869
154,0.353717755
