"month_last","donation_count","total_volume","month_first","result","age","freq","log_freq","sqrt_freq","donation_score","log_score","first_time","log_recency","sqrt_recency"
2,50,12500,98,1,96,1.92,1.07158361628019,1.3856406460551,4800,8.47657950853094,0,1.09861228866811,1.4142135623731
0,13,3250,28,1,28,2.15384615384615,1.14862270924277,1.46759877141069,364,5.89989735358249,0,0,0
1,16,4000,35,1,34,2.125,1.13943428318836,1.45773797371133,544,6.30078579466324,0,0.693147180559945,1
2,20,5000,45,1,43,2.15,1.14740245283754,1.46628782986152,860,6.75809450442773,0,1.09861228866811,1.4142135623731
1,24,6000,77,0,76,3.16666666666667,1.42711635564015,1.77951304200522,1824,7.50933526601659,0,0.693147180559945,1
4,4,1000,4,0,0,0,0,0,0,0,1,1.6094379124341,2
2,7,1750,14,1,12,1.71428571428571,0.998528830111127,1.30930734141595,84,4.44265125649032,0,1.09861228866811,1.4142135623731
1,12,3000,35,0,34,2.83333333333333,1.34373474670109,1.68325082306035,408,6.0137151560428,0,0.693147180559945,1
5,46,11500,98,1,93,2.02173913043478,1.1058325366416,1.42187873267546,4278,8.36147461641682,0,1.79175946922805,2.23606797749979
0,3,750,4,0,4,1.33333333333333,0.847297860387203,1.15470053837925,12,2.56494935746154,0,0,0
2,10,2500,28,1,26,2.6,1.28093384546206,1.61245154965971,260,5.56452040732269,0,1.09861228866811,1.4142135623731
1,13,3250,47,0,46,3.53846153846154,1.51258808644418,1.88107988625192,598,6.39526159811545,0,0.693147180559945,1
2,6,1500,15,1,13,2.16666666666667,1.15267950993839,1.47196014438797,78,4.36944785246702,0,1.09861228866811,1.4142135623731
2,5,1250,11,1,9,1.8,1.02961941718116,1.34164078649987,45,3.8286413964891,0,1.09861228866811,1.4142135623731
2,14,3500,48,1,46,3.28571428571429,1.45528723260684,1.81265393434993,644,6.46925031679577,0,1.09861228866811,1.4142135623731
2,15,3750,49,1,47,3.13333333333333,1.41908418394288,1.77012240631357,705,6.55961523749324,0,1.09861228866811,1.4142135623731
2,6,1500,15,1,13,2.16666666666667,1.15267950993839,1.47196014438797,78,4.36944785246702,0,1.09861228866811,1.4142135623731
2,3,750,4,1,2,0.666666666666667,0.510825623765991,0.816496580927726,6,1.94591014905531,0,1.09861228866811,1.4142135623731
2,3,750,4,1,2,0.666666666666667,0.510825623765991,0.816496580927726,6,1.94591014905531,0,1.09861228866811,1.4142135623731
4,11,2750,28,0,24,2.18181818181818,1.15745278869104,1.47709789175199,264,5.57972982598622,0,1.6094379124341,2
2,6,1500,16,1,14,2.33333333333333,1.20397280432594,1.52752523165195,84,4.44265125649032,0,1.09861228866811,1.4142135623731
2,6,1500,16,1,14,2.33333333333333,1.20397280432594,1.52752523165195,84,4.44265125649032,0,1.09861228866811,1.4142135623731
4,14,3500,40,0,36,2.57142857142857,1.27296567581289,1.60356745147455,504,6.22455842927536,0,1.6094379124341,2
4,6,1500,14,0,10,1.66666666666667,0.980829253011726,1.29099444873581,60,4.11087386417331,0,1.6094379124341,2
4,8,2000,21,0,17,2.125,1.13943428318836,1.45773797371133,136,4.91998092582813,0,1.6094379124341,2
1,14,3500,58,0,57,4.07142857142857,1.62362254742606,2.01777812740365,798,6.68336094576627,0,0.693147180559945,1
4,10,2500,28,1,24,2.4,1.22377543162212,1.54919333848297,240,5.48479693349065,0,1.6094379124341,2
4,10,2500,28,1,24,2.4,1.22377543162212,1.54919333848297,240,5.48479693349065,0,1.6094379124341,2
2,16,4000,64,0,62,3.875,1.58412010444981,1.96850196850295,992,6.90073066404517,0,1.09861228866811,1.4142135623731
2,8,2000,28,1,26,3.25,1.44691898293633,1.80277563773199,208,5.34233425196481,0,1.09861228866811,1.4142135623731
2,12,3000,47,1,45,3.75,1.55814461804655,1.93649167310371,540,6.29341927884648,0,1.09861228866811,1.4142135623731
4,6,1500,16,1,12,2,1.09861228866811,1.4142135623731,72,4.29045944114839,0,1.6094379124341,2
4,7,1750,22,1,18,2.57142857142857,1.27296567581289,1.60356745147455,126,4.84418708645859,0,1.6094379124341,2
2,13,3250,53,1,51,3.92307692307692,1.59393372589814,1.98067587532057,663,6.49828214947643,0,1.09861228866811,1.4142135623731
2,5,1250,16,0,14,2.8,1.33500106673234,1.67332005306815,70,4.26267987704132,0,1.09861228866811,1.4142135623731
2,5,1250,16,1,14,2.8,1.33500106673234,1.67332005306815,70,4.26267987704132,0,1.09861228866811,1.4142135623731
2,5,1250,16,0,14,2.8,1.33500106673234,1.67332005306815,70,4.26267987704132,0,1.09861228866811,1.4142135623731
4,20,5000,69,1,65,3.25,1.44691898293633,1.80277563773199,1300,7.1708884785125,0,1.6094379124341,2
4,9,2250,28,1,24,2.66666666666667,1.29928298413026,1.63299316185545,216,5.37989735354046,0,1.6094379124341,2
2,9,2250,36,0,34,3.77777777777778,1.56397553835734,1.9436506316151,306,5.7268477475872,0,1.09861228866811,1.4142135623731
2,2,500,2,0,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
